trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,10,-54.18838467948403,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.02, 'e': 0.9607894391523232}",20,8,-56.46203071998855,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.02, 'e': 0.9417645335842487}",20,0,-127.85019241236876,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.02, 'e': 0.9231163463866358}",30,0,-217.02711482447577,"{0: 10, 1: 7, 2: 9, 3: 3, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.9048374180359595}",30,0,-164.13053205533092,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
6,False,"{'a': 0.02, 'e': 0.8869204367171575}",20,0,-102.21152165384568,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.02, 'e': 0.8693582353988059}",25,14,-21.116689462741345,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.02, 'e': 0.8521437889662113}",30,0,-134.26151275129766,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.02, 'e': 0.835270211411272}",30,0,-165.61562687031002,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-75.86984773251382,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.8025187979624785}",20,0,-87.2811280254929,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.02, 'e': 0.7866278610665535}",25,0,-169.74130685764712,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-133.09316148639417,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.7557837414557255}",25,0,-153.75090367484492,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.02, 'e': 0.7408182206817179}",30,1,-97.26367142632448,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 1}",1
16,False,"{'a': 0.02, 'e': 0.7261490370736909}",20,1,-80.25099071835312,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
