trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.1834020863019,"{0: 23, 1: 2, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.74707882041412,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.1202440161105,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.78987736104565,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.55571533697955,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.64085011638036,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.05675827219694,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.93310062547076,"{0: 9, 1: 5, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.70966076404477,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.91706415493203,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.41484852182608,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.14490183903581,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,3,-135.55439849872636,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.4763662078605,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.63038772472193,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,12,-22.462266452398342,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,10,-54.79363681167302,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.62757488794921,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.36072505398198,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.04659158135401,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.15839060010455,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.88570093513744,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-83.63705359910881,"{0: 17, 1: 9, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.848668798047804,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.56419161665241,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.16279646274376,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-68.14257590879248,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,7,-33.18433831098081,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.0848805515135,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.01264938793223,"{0: 14, 1: 6, 2: 10, 3: 0, 4: 0}",0
